2023-05-04:14:38:03,335, Finished crawling a site with 0 distinct players mentioned and 101 hyperlinks.
2023-05-04:14:38:03,335, Crawling next site: https://www.wtatennis.com/player-development
2023-05-04:14:38:03,418, Finished crawling a site with 0 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:38:03,419, Crawling next site: https://www.wtatennis.com/players
2023-05-04:14:38:03,550, Finished crawling a site with 0 distinct players mentioned and 105 hyperlinks.
2023-05-04:14:38:03,550, Crawling next site: https://www.wtatennis.com/players
2023-05-04:14:38:03,640, Finished crawling a site with 0 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:38:03,640, Crawling next site: https://www.wtatennis.com/press-center
2023-05-04:14:38:03,758, Finished crawling a site with 0 distinct players mentioned and 100 hyperlinks.
2023-05-04:14:38:03,758, Crawling next site: https://www.wtatennis.com/privacy-policy
2023-05-04:14:38:03,950, Finished crawling a site with 1 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:38:03,950, Crawling next site: https://www.wtatennis.com/privacy-policy
2023-05-04:14:38:03,965, Finished crawling a site with 10 distinct players mentioned and 246 hyperlinks.
2023-05-04:14:38:03,967, Crawling next site: https://www.wtatennis.com/rankings
2023-05-04:14:38:04,099, Finished crawling a site with 1 distinct players mentioned and 106 hyperlinks.
2023-05-04:14:38:04,100, Crawling next site: https://www.wtatennis.com/rankings/singles
2023-05-04:14:38:04,283, Finished crawling a site with 0 distinct players mentioned and 105 hyperlinks.
2023-05-04:14:38:04,283, Crawling next site: https://www.wtatennis.com/rankings/singles
2023-05-04:14:38:04,317, Finished crawling a site with 0 distinct players mentioned and 105 hyperlinks.
2023-05-04:14:38:04,317, Crawling next site: https://www.wtatennis.com/scores
2023-05-04:14:38:04,453, Finished crawling a site with 0 distinct players mentioned and 105 hyperlinks.
2023-05-04:14:38:04,454, Crawling next site: https://www.wtatennis.com/scores
2023-05-04:14:38:04,501, Finished crawling a site with 0 distinct players mentioned and 98 hyperlinks.
2023-05-04:14:38:04,501, Crawling next site: https://www.wtatennis.com/scores
2023-05-04:14:38:04,568, Finished crawling a site with 0 distinct players mentioned and 98 hyperlinks.
2023-05-04:14:38:04,568, Crawling next site: https://www.wtatennis.com/social-media-policy
2023-05-04:14:38:04,655, Finished crawling a site with 0 distinct players mentioned and 98 hyperlinks.
2023-05-04:14:38:04,655, Crawling next site: https://www.wtatennis.com/stats
2023-05-04:14:38:04,704, Finished crawling a site with 1 distinct players mentioned and 98 hyperlinks.
2023-05-04:14:38:04,704, Crawling next site: https://www.wtatennis.com/stats
2023-05-04:14:38:04,893, Finished crawling a site with 0 distinct players mentioned and 128 hyperlinks.
2023-05-04:14:38:04,893, Crawling next site: https://www.wtatennis.com/sweepstakes
2023-05-04:14:38:04,917, Finished crawling a site with 0 distinct players mentioned and 128 hyperlinks.
2023-05-04:14:38:04,917, Crawling next site: https://www.wtatennis.com/sweepstakes
2023-05-04:14:38:05,093, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:38:05,093, Crawling next site: https://www.wtatennis.com/sweepstakes
2023-05-04:14:38:05,114, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:38:05,114, Crawling next site: https://www.wtatennis.com/sweepstakes
2023-05-04:14:38:05,252, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:38:05,253, Crawling next site: https://www.wtatennis.com/terms-and-conditions
2023-05-04:14:38:05,273, Finished crawling a site with 0 distinct players mentioned and 102 hyperlinks.
2023-05-04:14:38:05,273, Crawling next site: https://www.wtatennis.com/tournaments
2023-05-04:14:38:05,459, Finished crawling a site with 1 distinct players mentioned and 100 hyperlinks.
